RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
159;19.92;3.83;15.08;18.92;62.75;13.17;56;69.17;;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
160;19.27;3;11.64;14.64;64.83;12.42;53.75;66.17;;B;B;B;A;H;-;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;-;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B
161;20.92;4.17;16.67;20.83;61.83;16.5;57.58;74.08;;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;B;B;-;B;B;B;-;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B
162;17.42;2.83;10.83;13.67;51.17;9.83;45.25;55.08;;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;B;B;B;A;A;A;A;A;A;A;H;H;-;H;A;A;A;A;A;A;A;A;A;A;B;B;A;A;H;H;H;H;H;H;A;A;A;A;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;H;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B
163;18.83;3.55;14;17.55;64.33;18.25;67.83;86.08;;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;-;B;B;B;B;B;B;B;A;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
164;23.33;4.5;18.42;22.92;58.42;10.92;47.17;58.08;;B;B;B;A;A;-;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;B;-;B;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B
165;19.67;3.5;13.83;17.33;-;-;-;-;;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A
166;19.25;3.36;12.82;16.18;-;-;-;-;;A;A;A;-;A;-;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;-;A;A;A;A;A;A;H;H;H;A;-;H;A;A;A;A;A;A;-;A;A;A;A;A;A;A;H;-;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;-;A;H;A;H;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A
167;24.5;5.17;21.92;27.08;92.89;14.17;73.5;87.67;;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;H;B;B;B;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A
168;17.5;3.17;12.08;15.25;56.67;14.67;53;67.67;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
169;16.5;3;9.17;12.17;43.08;6.5;30.5;37;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;-;A;A;A;A;A;A;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
170;22.25;4.58;16.33;20.92;52.5;8.92;44.67;53.58;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;H;H;H;-;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;A;H;H;H;H;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;A;A;A;A;-;-;A;A;A;A;A;A;A;A;A;B;A;A
171;17.33;3.17;11.67;14.83;58.42;13.58;57.42;71;;A;A;-;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;-;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B
172;18;3.33;12.58;15.92;60.91;11.17;56.33;67.5;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;H;H;H;H;H;H;H;B;B;B;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;H;H;B;B;B
173;22.75;4.67;19.33;24;74.36;10;52.7;62.7;;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A
174;23.75;5.5;19.5;25;74.67;13.17;67.58;80.75;;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;H;A
175;25.5;6.33;23.17;29.5;72;13.45;71.64;85.09;;B;B;B;B;B;-;B;B;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A
176;18.67;2.75;11.08;13.83;55.08;8.08;41.33;49.42;;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;A;A;A;-;A;A;A;A;-;H;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;H;A;A;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;-;A;A;A;A;A;A;A;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A
177;24.08;4;17;21;83.82;9.7;62;71.7;;A;A;H;A;A;-;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;B;B;B;-;B;B;H;H;H;H;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;B;-;B;B;B;A;B;B;B;H;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A
178;19.25;2.45;12.55;15;74.5;9.75;58.63;68.38;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;A;A;A;B;B;B;B;A;H;B;B;B;B;A;H;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;B;B;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;-;H;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A
179;25.58;3.42;19.33;22.75;79.33;8.1;63.3;71.4;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;H;A;A;A;A;A;A;A;A;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;A;A;A
180;18.75;3.33;11.67;15;64;12.25;56.17;68.42;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;H;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B
181;15.92;1.83;8.08;9.92;69;13.75;67.42;81.17;;B;H;H;B;H;H;H;H;H;H;H;H;A;A;A;H;H;H;B;B;B;H;-;H;B;H;H;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;-;H;-;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;B;B;B;-;B;B;H;H;H;B;B;B;B;B;B;-;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A;H;H;H;B;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;H
182;18.42;3.33;11;14.33;62.25;10.92;53.25;64.17;;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;B;H;H;H;-;H;H;-;H;H;H;H;H;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A
183;21.25;3.92;14.42;18.33;68.17;10.25;63.08;73.33;;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;H;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;A;A;A;A;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A
184;21.92;5;17.83;22.83;71.2;11.78;63.56;75.33;;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;A;-;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
185;19.17;2.17;11.5;13.67;57;8;50;58;;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;H;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;A;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B
186;20.67;3.73;16.64;20.36;74.5;12.5;82;94.5;;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;H;H;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A
187;25.17;5.17;23;28.17;73.4;8.6;67.8;76.4;;A;A;A;-;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;A;B;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;H;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
188;18.17;3;10.08;13.08;68.73;10.5;51.8;62.3;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;B;B;B;B;B;B;B;-;H;H;H;-;A;A;A;A;B;A;A;A;A;A;A;A;H;A;A;H;H;H;-;-;H;H;A;A;A;A;A;A;A;A;A;A;-;H;H;H;H;H;A;-;A;A;A;A;A;A;H;A;A;A;H;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B
189;16.33;2.92;10.5;13.42;58.42;15;59.17;74.17;;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A
190;18.5;3.83;13.25;17.08;59.17;10.64;52;61.75;;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;-;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A
191;19.5;3.33;14.42;17.75;54.58;9.42;48.83;58.25;;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;H;B;B;A;A;A;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;B
